srno,code,difficulty,event,event_name,finished,id,is_home,kickoff_time,minutes,provisional_start_time,team_a,team_h
0,2128288,2,1,Gameweek 1,FALSE,2,FALSE,2020-09-12T11:30:00Z,0,FALSE,1,8
1,2128296,2,2,Gameweek 2,FALSE,9,TRUE,2020-09-20T13:00:00Z,0,FALSE,19,1
2,2128310,5,3,Gameweek 3,FALSE,23,FALSE,2020-09-28T19:00:00Z,0,FALSE,1,11
3,2128316,3,4,Gameweek 4,FALSE,29,TRUE,2020-10-03T14:00:00Z,0,FALSE,15,1
4,2128331,5,5,Gameweek 5,FALSE,44,FALSE,2020-10-17T14:00:00Z,0,FALSE,1,12
5,2128336,3,6,Gameweek 6,FALSE,49,TRUE,2020-10-24T14:00:00Z,0,FALSE,9,1
6,2128351,4,7,Gameweek 7,FALSE,64,FALSE,2020-10-31T15:00:00Z,0,FALSE,1,13
7,2128356,2,8,Gameweek 8,FALSE,69,TRUE,2020-11-07T15:00:00Z,0,FALSE,2,1
8,2128369,2,9,Gameweek 9,FALSE,82,FALSE,2020-11-21T15:00:00Z,0,FALSE,1,10
9,2128376,3,10,Gameweek 10,FALSE,89,TRUE,2020-11-28T15:00:00Z,0,FALSE,20,1
10,2128393,4,11,Gameweek 11,FALSE,106,FALSE,2020-12-05T15:00:00Z,0,FALSE,1,17
11,2128396,3,12,Gameweek 12,FALSE,109,TRUE,2020-12-12T15:00:00Z,0,FALSE,4,1
12,2128406,3,13,Gameweek 13,FALSE,119,TRUE,2020-12-15T19:45:00Z,0,FALSE,16,1
13,2128420,3,14,Gameweek 14,FALSE,133,FALSE,2020-12-19T15:00:00Z,0,FALSE,1,7
14,2128426,3,15,Gameweek 15,FALSE,139,TRUE,2020-12-26T15:00:00Z,0,FALSE,5,1
15,2128436,2,16,Gameweek 16,FALSE,149,FALSE,2020-12-28T15:00:00Z,0,FALSE,1,3
16,2128455,2,17,Gameweek 17,FALSE,168,FALSE,2021-01-02T15:00:00Z,0,FALSE,1,18
17,2128456,2,18,Gameweek 18,FALSE,169,TRUE,2021-01-12T19:45:00Z,0,FALSE,6,1
18,2128466,2,19,Gameweek 19,FALSE,179,TRUE,2021-01-16T15:00:00Z,0,FALSE,14,1
19,2128484,2,20,Gameweek 20,FALSE,197,FALSE,2021-01-27T19:45:00Z,0,FALSE,1,16
20,2128486,4,21,Gameweek 21,FALSE,199,TRUE,2021-01-30T15:00:00Z,0,FALSE,13,1
21,2128502,3,22,Gameweek 22,FALSE,215,FALSE,2021-02-02T19:45:00Z,0,FALSE,1,20
22,2128506,2,23,Gameweek 23,FALSE,219,FALSE,2021-02-06T15:00:00Z,0,FALSE,1,2
23,2128516,2,24,Gameweek 24,FALSE,229,TRUE,2021-02-13T15:00:00Z,0,FALSE,10,1
24,2128526,4,25,Gameweek 25,FALSE,239,TRUE,2021-02-20T15:00:00Z,0,FALSE,12,1
25,2128540,4,26,Gameweek 26,FALSE,253,FALSE,2021-02-27T15:00:00Z,0,FALSE,1,9
26,2128548,3,27,Gameweek 27,FALSE,261,FALSE,2021-03-06T15:00:00Z,0,FALSE,1,4
27,2128556,3,28,Gameweek 28,FALSE,269,TRUE,2021-03-13T15:00:00Z,0,FALSE,17,1
28,2128575,2,29,Gameweek 29,FALSE,288,FALSE,2021-03-20T15:00:00Z,0,FALSE,1,19
29,2128576,4,30,Gameweek 30,FALSE,289,TRUE,2021-04-03T14:00:00Z,0,FALSE,11,1
